row_id	owner	source_file	source_symbol	device_scope	depends_on	source_status	source_relation	lock_or_order	failure_contract	runtime_status	silicon_status	external_repository	external_commit	external_artifact	external_row_id	completion_gate	mesa_effect	nonclaim
GART_SOURCE_BUILD_REACHABILITY	linux-radeon-gororoba	drivers/gpu/drm/radeon/Makefile	radeon-y	CONFIG_DRM_RADEON	NONE	proven	The linked Radeon module includes the object, TTM, GART, ASIC, command submission, synchronization, indirect buffer, and fence owners.	Kbuild resolves every listed object before module link.	A missing owner fails the source checker and module link.	not-run	not-applicable	NONE	NONE	NONE	NONE	At source commit df6f5cf10024ee20cc5db66e5c891f9207f24f7a, prod, observe-dev, probe-dev, and mutate-dev passed with zero warnings on exact declared roots 6.18.38-2-cachyos-lts and 7.1.4-1-cachyos using signed manifest-pinned Clang and LLD 22.1.6 and 22.1.8 package sets.	Linux owns the complete source path that Mesa reaches through DRM ioctls.	Build reachability does not prove a live RS482 path.
RS400_ASIC_GART_CALLBACK_SELECTION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_asic.c	rs400_asic;radeon_asic_init	CHIP_RS400;CHIP_RS480	GART_SOURCE_BUILD_REACHABILITY	proven	RS400 and RS480 select rs400_asic, whose GART callbacks are rs400_gart_tlb_flush, rs400_gart_get_page_entry, and rs400_gart_set_page.	Family selection precedes Radeon initialization and every indirect GART callback.	A missing callback or family selection fails before the source contract can close.	not-run	unproved	NONE	NONE	NONE	NONE	The exact source bindings remain present; GART_SOURCE_BUILD_REACHABILITY owns compatibility build evidence.	The RS4xx callback path is available to every userspace allocation and submit path.	Source selection does not prove live PCI identity or callback execution.
GTT_APERTURE_SIZE_DERIVATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_init	all internal Radeon GART devices	RS400_ASIC_GART_CALLBACK_SELECTION	proven	The CPU page count and GPU page count derive from the event specific mc.gtt_size value.	Size derivation precedes both shadow allocations and table sizing.	Allocation failure invokes common GART finalization for the completed ownership prefix.	not-run	unproved	vostro1000-re	0e5141a454c9453382059eea5d0062e79451de13	systems/dell-vostro-1000/platform-maximal-decomposition-frontier.tsv	uma-gart-cacheability-graph	A retained event supplies an exact aperture value; no value becomes a platform constant.	Mesa must query the kernel allocation surface instead of assuming 512 MiB or 1 GiB.	The source formula does not establish one timeless aperture size.
GART_TABLE_DMA_COHERENT_ALLOCATION_API	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_table_ram_alloc	CHIP_RS400;CHIP_RS480	GTT_APERTURE_SIZE_DERIVATION	proven	The GART page table storage comes from dma_alloc_coherent and retains its DMA address and CPU alias.	Allocation completes before the CPU alias attribute attempt and hardware table programming.	A failed coherent allocation returns ENOMEM without publishing a table alias.	not-run	unproved	vostro1000-re	0e5141a454c9453382059eea5d0062e79451de13	systems/dell-vostro-1000/platform-maximal-decomposition-frontier.tsv	gart-page-table-readonly-provenance	The retained target observation must identify the exact allocation and event before adding target claims.	Mesa does not own page table storage or its DMA address.	dma_alloc_coherent is allocation API terminology, not a payload coherence verdict.
RS4XX_GART_TABLE_UC_ALIAS_ATTEMPT	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_table_ram_alloc	CONFIG_X86 and CHIP_RS400 or CHIP_RS480	GART_TABLE_DMA_COHERENT_ALLOCATION_API	proven	The source calls set_memory_uc for every page of the table and discards the integer result.	dma_alloc_coherent precedes set_memory_uc.	The source records no failure observation and continues after any nonzero result.	not-run	unproved	NONE	NONE	NONE	NONE	A checked return or retained target page type is required before claiming a successful transition.	Mesa cannot infer the page table CPU type from call presence.	The call does not prove that the CPU alias became UC.
NON_PCIE_GTT_ATTRIBUTE_NORMALIZATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_object.c	radeon_bo_create	non PCIe Radeon devices	GART_SOURCE_BUILD_REACHABILITY	proven	BO construction removes both RADEON_GEM_GTT_WC and RADEON_GEM_GTT_UC.	Flag normalization precedes TTM placement initialization.	The constructor carries no alternate WC or UC path for a non PCIe BO.	not-run	unproved	steinmarder-r300	746675620eb49d3b7186da01f137773a5128d41b	src/re/r300/corpora/rs482_k8_memory_path_frontier_v1/frontier.jsonl	GTT_WC_NON_PCIE_UNREACHABLE	The source checker and Stein frontier must agree on reachability.	Mesa must not model a reachable non PCIe GTT WC allocation through this ABI.	The source rule does not prove the effective CPU type of every mapping.
TTM_DEFAULT_CACHED_SELECTION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_ttm.c	radeon_ttm_tt_create	non AGP internal GART	NON_PCIE_GTT_ATTRIBUTE_NORMALIZATION	proven	TTM selects ttm_cached when neither UC nor WC remains.	Cache selection occurs when the translation table is created and before bind.	Translation table allocation failure returns NULL.	not-run	unproved	NONE	NONE	NONE	NONE	The cache mode branch remains exact in source; GART_SOURCE_BUILD_REACHABILITY owns compatibility build evidence.	Mesa sees a host cached BO model at the kernel boundary.	ttm_cached does not prove CPU to GPU coherence.
USERPTR_TT_EXTERNAL_POPULATION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_ttm.c	radeon_ttm_tt_populate	Radeon userptr BOs	TTM_DEFAULT_CACHED_SELECTION	proven	Userptr population allocates an SG table container and marks the translation table external without pinning pages yet.	Population precedes validation and backend bind.	Container allocation failure returns ENOMEM before any page pin.	not-run	unproved	NONE	NONE	NONE	NONE	The external ownership boundary and delayed pin point remain source proven.	Future no copy experiments can distinguish userptr ownership from ordinary GTT pages.	Population alone does not establish a DMA mapping.
USERPTR_PIN_DMA_MAP_TRANSACTION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_ttm.c	radeon_ttm_tt_pin_userptr;radeon_ttm_backend_bind	Radeon userptr BOs	USERPTR_TT_EXTERNAL_POPULATION	repaired	The bind propagates page pin errors, rejects a zero progress pin, frees SG entries after DMA map failure, rolls back a completed pin after GART bind failure, and publishes bound only after success.	Page pin precedes SG construction, DMA map, address extraction, PTE bind, and bound publication; unbind removes PTEs before DMA unmap and page release.	Every failed ownership prefix releases exactly the pages and SG entries it acquired.	not-run	unproved	NONE	NONE	NONE	NONE	Mutation tests reject ignored returns, dangling SG state, missing rollback, and unpin before PTE removal; GART_SOURCE_BUILD_REACHABILITY owns compatibility build evidence.	A future userptr based sharing path has a transactional kernel lifetime.	A correct lifetime does not prove payload visibility or make userptr a preferred Mesa ABI.
GART_BIND_RANGE_ADMISSION	linux-radeon-gororoba	drivers/gpu/drm/radeon/radeon_gart.c	radeon_gart_range_valid;radeon_gart_bind_locked;radeon_gart_bind	all internal Radeon GART devices	GTT_APERTURE_SIZE_DERIVATION	repaired	Bind enters RS4xx hardware admission, locks gart.lock, and requires a nonzero page count, page aligned offset, nonnull DMA array, and an interval contained in num_cpu_pages.	Hardware admission and gart.lock precede range validation and every page and PTE array access.	Hardware refusal or invalid input returns an error without changing either shadow or the hardware table.	not-run	unproved	NONE	NONE	NONE	NONE	Admission, lock, and boundary mutations for zero, misaligned, overflowing, and out of aperture ranges are rejected.	Kernel admission prevents lifecycle transitions and malformed mappings from racing GPU table publication.	Range validation does not validate payload bytes or cache state.
